## time           Signal       Signal_ifft        freq.         spc_fft        spc_noise_cancel
 (   0.390+   0.000j)	 (  -0.427+   0.000j)	 (  -0.152+  -0.465j)	 (  15.294+   0.000j)	 (   1.093+   0.000j)	 (   1.093+   0.000j)
 (   0.400+   0.000j)	 (  -0.000+   0.000j)	 (   0.003+  -0.494j)	 (  15.686+   0.000j)	 (   1.061+   0.000j)	 (   1.061+   0.000j)
 (   0.410+   0.000j)	 (   0.427+   0.000j)	 (   0.161+  -0.470j)	 (  16.078+   0.000j)	 (   1.032+   0.000j)	 (   1.032+   0.000j)
 (   0.420+   0.000j)	 (   0.398+   0.000j)	 (   0.302+  -0.396j)	 (  16.471+   0.000j)	 (   1.006+   0.000j)	 (   1.006+   0.000j)
 (   0.430+   0.000j)	 (   0.999+   0.000j)	 (   0.410+  -0.283j)	 (  16.863+   0.000j)	 (   0.981+   0.000j)	 (   0.981+   0.000j)
 (   0.440+   0.000j)	 (   0.833+   0.000j)	 (   0.478+  -0.146j)	 (  17.255+   0.000j)	 (   0.958+   0.000j)	 (   0.958+   0.000j)
 (   0.450+   0.000j)	 (   1.000+   0.000j)	 (   0.503+   0.005j)	 (  17.647+   0.000j)	 (   0.937+   0.000j)	 (   0.937+   0.000j)
 (   0.460+   0.000j)	 (   1.070+   0.000j)	 (   0.482+   0.159j)	 (  18.039+   0.000j)	 (   0.917+   0.000j)	 (   0.917+   0.000j)
 (   0.470+   0.000j)	 (   0.619+   0.000j)	 (   0.413+   0.302j)	 (  18.431+   0.000j)	 (   0.899+   0.000j)	 (   0.899+   0.000j)
 (   0.480+   0.000j)	 (   0.778+   0.000j)	 (   0.299+   0.415j)	 (  18.824+   0.000j)	 (   0.883+   0.000j)	 (   0.883+   0.000j)
 (   0.490+   0.000j)	 (   0.191+   0.000j)	 (   0.157+   0.484j)	 (  19.216+   0.000j)	 (   0.869+   0.000j)	 (   0.869+   0.000j)
